PMAID,LocID,Name,Address,ZIP Code,X Coord,Y Coord,Location 1
281,2545,12th and Howe Play Park,1200 W Howe St,98119,-122.372985,47.636097,"{'longitude': '-122.372985', 'needs_recoding': False, 'latitude': '47.636097'}"
4159,2387,12th Ave S Viewpoint,2821 12TH Ave S,98144,-122.317765,47.577953,"{'longitude': '-122.317765', 'needs_recoding': False, 'latitude': '47.577953'}"
4467,2382,12th Ave Square Park,564 12th Ave,98122,-122.316455,47.607427,"{'longitude': '-122.316455', 'needs_recoding': False, 'latitude': '47.607427'}"
4010,2546,14th Ave NW Boat Ramp,4400 14th Ave NW,98107,-122.373536,47.660775,"{'longitude': '-122.373536', 'needs_recoding': False, 'latitude': '47.660775'}"
296,296,3001 E Madison,3001 E Madison St,98112,-122.293173,47.625169,"{'longitude': '-122.293173', 'needs_recoding': False, 'latitude': '47.625169'}"
1000001,0,32nd Ave W Boat Launch,32nd Ave W,98199,-122.398685,47.632345,"{'longitude': '-122.398685', 'needs_recoding': False, 'latitude': '47.632345'}"
3158,2378,6th Ave NW Pocket Park,606  NW 76th St,98117,-122.363566,47.684202,"{'longitude': '-122.363566', 'needs_recoding': False, 'latitude': '47.684202'}"
4404,2533,A. B. Ernst Park,723 N 35th St,98103,-122.348826,47.650087,"{'longitude': '-122.348826', 'needs_recoding': False, 'latitude': '47.650087'}"
1000002,0,Adams Street Boat Ramp,Lake Washington Blvd S & S Adams St,98118,-122.267178,47.565219,"{'longitude': '-122.267178', 'needs_recoding': False, 'latitude': '47.565219'}"
244,1886,Albert Davis Park,12526 27th Ave NE,98125,-122.298752,47.72016,"{'longitude': '-122.298752', 'needs_recoding': False, 'latitude': '47.72016'}"
445,1888,Alki Beach Park,1702 Alki Ave SW,98116,-122.402173,47.582912,"{'longitude': '-122.402173', 'needs_recoding': False, 'latitude': '47.582912'}"
446,1049,Alki Playground,5817 SW Lander St,98116,-122.407312,47.578497,"{'longitude': '-122.407312', 'needs_recoding': False, 'latitude': '47.578497'}"
3914,1891,Alvin Larkins Park,1504 34TH Ave,98122,-122.288745,47.614318,"{'longitude': '-122.288745', 'needs_recoding': False, 'latitude': '47.614318'}"
426,1892,Amy Yee Tennis Center,2000 Martin Luther King Jr Way S,98144,-122.29742,47.584876,"{'longitude': '-122.29742', 'needs_recoding': False, 'latitude': '47.584876'}"
